IlmnID,CD56.mean,other.mean,abs_diff,percent_diff,change,CHR,MAPINFO,gene,feature,CellType
cg13617280,0.247475254669176,0.881702708616552,0.634227453947376,63.42,Up,12,129299462,SLC15A4; MGC16384,Body; TSS200,CD56
cg01144218,0.397219033578364,0.917750781314927,0.520531747736563,52.05,Up,13,114869835,RASA3,Body,CD56
cg23015664,0.457482255128899,0.934060857661348,0.476578602532449,47.66,Up,7,2040109,MAD1L1,Body,CD56
cg13995453,0.431208655725649,0.883110748583193,0.451902092857544,45.19,Up,12,9759653,KLRB1,Body,CD56
cg02195105,0.419430347636058,0.864319579939341,0.444889232303283,44.49,Up,10,44805846,,,CD56
cg04736625,0.432579429926054,0.868190259491597,0.435610829565543,43.56,Up,12,9757161,KLRB1,Body,CD56
cg05148385,0.47085324662513,0.893846487126043,0.422993240500913,42.3,Up,2,213950646,IKZF2,Body,CD56
cg04064701,0.488211705274695,0.890424507269794,0.402212801995099,40.22,Up,10,62671215,RHOBTB1,Body,CD56
cg19915997,0.460483050755353,0.846509326979294,0.386026276223941,38.6,Up,3,15492725,COLQ,3'UTR,CD56
cg15705930,0.489294810685088,0.865581163309672,0.376286352624584,37.63,Up,5,123973317,ZNF608,3'UTR,CD56
cg27274718,0.540200802106442,0.914951275694004,0.374750473587562,37.48,Up,3,15772890,ANKRD28,Body,CD56
cg27026192,0.360464133690832,0.728124628849729,0.367660495158897,36.77,Up,16,57836960,KIFC3,TSS1500,CD56
cg25386954,0.517379978468519,0.875955963223097,0.358575984754578,35.86,Up,5,60640139,ZSWIM6,Body,CD56
cg07873128,0.54777911626489,0.872493842432203,0.324714726167313,32.47,Up,11,3121400,OSBPL5,Body,CD56
cg00942495,0.605341150584462,0.923225021292582,0.31788387070812,31.79,Up,15,76214616,FBXO22,Body,CD56
cg24410690,0.602125935861319,0.919612311557154,0.317486375695835,31.75,Up,12,129299481,SLC15A4; MGC16384,Body; TSS200,CD56
cg08625996,0.570379058347924,0.887748138475694,0.31736908012777,31.74,Up,7,127547490,SND1,Body,CD56
cg05253716,0.591816527343621,0.900192953823279,0.308376426479658,30.84,Up,12,129299332,SLC15A4; MGC16384,Body; TSS200,CD56
cg09278623,0.574377628661627,0.881388297209816,0.307010668548189,30.7,Up,7,115892473,TES,Body,CD56
cg21777154,0.481134838152339,0.788078147603173,0.306943309450834,30.69,Up,1,184396304,C1orf21,5'UTR,CD56
cg05421487,0.582033800987808,0.887713262996507,0.305679462008699,30.57,Up,17,19877116,AKAP10,Body,CD56
