"IlmnID","CD4.mean","other.mean","abs_diff","percent_diff","change","CHR","MAPINFO","gene","feature"
"cg24462702",0.131929726435468,0.822599997865726,0.690670271430259,69.07,"Up","X",135730445,"CD40LG","1stExon"
"cg12297231",0.287348399990285,0.842899685169074,0.555551285178789,55.56,"Up","1",31531229,"PUM1","Body"
"cg10837404",0.3417814278365,0.883185714092712,0.541404286256212,54.14,"Up","5",112356289,"DCP2","3'UTR"
"cg05617307",0.348405740829343,0.888855254004072,0.540449513174729,54.04,"Up","10",121413182,"BAG3","Body"
"cg03419136",0.225764518066791,0.709685283043027,0.483920764976236,48.39,"Up","11",64547646,"SF1","TSS1500"
"cg14232368",0.30804683194734,0.789862235555788,0.481815403608448,48.18,"Up","X",135736974,"CD40LG","Body"
"cg20737812",0.335128662107135,0.812350800734728,0.477222138627594,47.72,"Up","15",86336631,"KLHL25","5'UTR"
"cg13400249",0.419536927653213,0.887292077778622,0.467755150125409,46.78,"Up","1",8480963,"RERE","5'UTR; Body"
"cg26986871",0.58524907428565,0.121201266924374,0.464047807361276,46.4,"Down","12",10545083,"",""
"cg12047375",0.430971865779216,0.875985521408632,0.445013655629416,44.5,"Up","8",54757132,"ATP6V1H","TSS1500"
"cg07919695",0.452626263640393,0.880460685519861,0.427834421879468,42.78,"Up","X",135729658,"CD40LG","TSS1500"
"cg04162316",0.489156814622228,0.907669991922581,0.418513177300353,41.85,"Up","17",78786355,"RPTOR","Body"
"cg11157440",0.421389186064854,0.830065111766815,0.408675925701961,40.87,"Up","8",19316005,"CSGALNACT1","Body"
"cg11307417",0.483579447465546,0.886746095717264,0.403166648251717,40.32,"Up","3",48310616,"ZNF589","3'UTR"
"cg26852894",0.45417220599146,0.852459391058824,0.398287185067364,39.83,"Up","4",11157341,"",""
"cg24008435",0.48503574731308,0.866175505766737,0.381139758453657,38.11,"Up","15",101137976,"LINS1","5'UTR"
"cg07489413",0.447566931737414,0.0758725167670772,0.371694414970337,37.17,"Down","11",2321937,"C11orf21; TSPAN32","Body; TSS1500"
"cg13164537",0.143888952787487,0.512194549025594,0.368305596238108,36.83,"Up","18",67624071,"CD226","5'UTR; 1stExon"
"cg03132824",0.546926470627761,0.910549206164347,0.363622735536586,36.36,"Up","4",3373006,"RGS12","Body"
"cg16375820",0.490824113940605,0.853018420198695,0.36219430625809,36.22,"Up","5",55289001,"IL6ST","5'UTR"
"cg13745692",0.511902353766117,0.846474839884453,0.334572486118336,33.46,"Up","3",60065489,"FHIT","Body"
"cg13500113",0.398169198044265,0.726658547571493,0.328489349527228,32.85,"Up","2",216947149,"TMEM169; PECR","5'UTR; TSS1500"
"cg03505866",0.453847160891706,0.774294996000958,0.320447835109252,32.04,"Up","14",70077191,"KIAA0247","TSS1500"
"cg16921643",0.57625148649679,0.895017059169896,0.318765572673106,31.88,"Up","8",135513489,"ZFAT","Body"
"cg15260951",0.597370436665136,0.911371053086231,0.314000616421095,31.4,"Up","18",77165150,"NFATC1","Body; 5'UTR"
"cg17983217",0.379061746067846,0.0796629272437128,0.299398818824134,29.94,"Down","6",31698223,"DDAH2","TSS200"
"cg21410980",0.590401514965531,0.884645078527446,0.294243563561915,29.42,"Up","4",40121831,"N4BP2","Body"
"cg00330518",0.59180098706984,0.8854956786893,0.293694691619461,29.37,"Up","1",2228160,"SKI","Body"
"cg01364581",0.474813069473489,0.76351563741014,0.288702567936651,28.87,"Up","7",150175800,"GIMAP8","3'UTR"
"cg05931551",0.603447967460538,0.890420809741761,0.286972842281223,28.7,"Up","1",52892210,"ZCCHC11","Body"
