"IlmnID","CD14.mean","other.mean","abs_diff","percent_diff","change","CHR","MAPINFO","gene","feature"
"cg23244761",0.141098519391158,0.928743004413456,0.787644485022298,78.76,"Up","6",161796850,"PARK2","Body"
"cg26538782",0.143378544721286,0.864654537721525,0.721275993000239,72.13,"Up","19",10308540,"",""
"cg10480329",0.188026525323303,0.890902362482363,0.702875837159059,70.29,"Up","2",27011850,"CENPA","Body"
"cg19301114",0.109285750358609,0.805442928981597,0.696157178622988,69.62,"Up","6",161796785,"PARK2","Body"
"cg18066690",0.195548687133394,0.889320395462401,0.693771708329007,69.38,"Up","8",48344060,"KIAA0146","Body"
"cg16636767",0.20830841643031,0.893774123929798,0.685465707499488,68.55,"Up","11",13694647,"FAR1","5'UTR"
"cg25898577",0.135021704596795,0.817418647877987,0.682396943281192,68.24,"Up","22",22292241,"PPM1F","Body"
"cg00701951",0.133874351066471,0.812752077926255,0.678877726859784,67.89,"Up","10",124228478,"HTRA1","Body"
"cg23391288",0.208782691499996,0.87792894598917,0.669146254489173,66.91,"Up","13",49366203,"",""
"cg10624395",0.205480255536036,0.871052329561553,0.665572074025518,66.56,"Up","11",110350574,"",""
"cg08538581",0.112175379990652,0.77751587170424,0.665340491713588,66.53,"Up","1",162500634,"",""
"cg00208012",0.179819400607803,0.838808186331401,0.658988785723598,65.9,"Up","7",76032544,"ZP3; SRCRB4D","5'UTR; Body"
"cg07002540",0.145329513834681,0.803616267576528,0.658286753741848,65.83,"Up","2",85281128,"KCMF1","3'UTR"
"cg20641531",0.186606430693057,0.836640005758389,0.650033575065332,65,"Up","7",8302731,"ICA1","TSS1500"
"cg08908131",0.16204789240458,0.809306296002169,0.647258403597589,64.73,"Up","10",118706938,"KIAA1598","Body"
"cg01024962",0.203551886772447,0.849924878776939,0.646372992004492,64.64,"Up","14",31389792,"STRN3","Body"
"cg10278149",0.146300547741371,0.790460906500347,0.644160358758976,64.42,"Up","2",208016923,"KLF7","Body"
"cg08694574",0.186931366839249,0.829731710056464,0.642800343217215,64.28,"Up","16",86011615,"",""
"cg21459713",0.21660290367714,0.853935649675904,0.637332745998764,63.73,"Up","8",623688,"ERICH1","Body"
"cg02780988",0.160691404805196,0.79715989754244,0.636468492737244,63.65,"Up","17",39646994,"KRT36","TSS1500"
"cg05242065",0.197817951468858,0.83185723999175,0.634039288522892,63.4,"Up","2",85060011,"C2orf89","Body"
"cg02244028",0.21554589983181,0.849154245721226,0.633608345889415,63.36,"Up","3",38992200,"SCN11A","TSS200"
"cg04468741",0.189716682668123,0.823363137608604,0.633646454940481,63.36,"Up","11",12181467,"MICAL2","5'UTR"
"cg13781869",0.253706920751794,0.880603461341263,0.626896540589469,62.69,"Up","1",209877614,"HSD11B1","5'UTR; TSS1500"
"cg04851465",0.242701103918468,0.869464560842176,0.626763456923707,62.68,"Up","1",212408609,"",""
"cg01110616",0.189242259225691,0.81311045029415,0.623868191068459,62.39,"Up","11",32055233,"",""
"cg20918393",0.301995563974698,0.925711454780717,0.623715890806019,62.37,"Up","20",19867136,"",""
