Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Cellular Component	GO:0042101	T cell receptor complex	 	4.843E-6	1.007E-3	1.007E-3	5.960E-3	3	19	CD247,CD8A,CD8B
Human Phenotype	HP:0000677	Oligodontia	 	1.131E-3	2.059E-1	4.781E-2	2.765E-1	2	19	ANKRD11,AXIN2
Human Phenotype	HP:0001880	Eosinophilia	 	1.664E-3	3.028E-1	4.781E-2	2.765E-1	2	23	CASP10,CD247
Human Phenotype	HP:0002948	Vertebral fusion	 	2.467E-3	4.490E-1	4.781E-2	2.765E-1	2	28	ANKRD11,PTCH1
Human Phenotype	HP:0005422	Absence of CD8+ T cells	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	CD8A
Human Phenotype	HP:0005326	Hypoplastic philtrum	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	PTCH1
Human Phenotype	HP:0004122	Midline defect of the nose {has_synonym_type="layperson"}	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	PTCH1
Human Phenotype	HP:0008438	Vertebral arch anomaly	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	ANKRD11
Human Phenotype	HP:0005526	Lymphoid leukemia	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	LYL1
Human Phenotype	HP:0010649	Flat nasal alae	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	PTCH1
Human Phenotype	HP:0005404	Increase in B cell number	 	2.728E-3	4.965E-1	4.781E-2	2.765E-1	1	1	CASP10
Human Phenotype	HP:0010663	Abnormality of thalamus morphology	 	5.435E-3	9.892E-1	4.781E-2	2.765E-1	1	2	PTCH1
Human Phenotype	HP:0010650	Hypoplasia of the premaxilla	 	5.435E-3	9.892E-1	4.781E-2	2.765E-1	1	2	PTCH1
Human Phenotype	HP:0005353	Susceptibility to herpesvirus {has_synonym_type="layperson"}	 	5.435E-3	9.892E-1	4.781E-2	2.765E-1	1	2	CD247
Human Phenotype	HP:0002744	Bilateral cleft lip and palate	 	5.435E-3	9.892E-1	4.781E-2	2.765E-1	1	2	PTCH1
Human Phenotype	HP:0002851	Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0005449	Bridged sella turcica	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0002853	Increased proportion of HLA DR+ and CD57+ T cells	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0010603	Odontogenic keratocysts of the jaw	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0004795	Hamartomatous stomach polyps	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0002845	Increased number of peripheral CD3+ T cells	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0003262	Smooth muscle antibody positivity	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0002923	Rheumatoid factor positive	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0009650	Short distal phalanx of the thumb	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0003453	Antineutrophil antibody positivity	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0002507	Semilobar holoprosencephaly	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0002730	Chronic noninfectious lymphadenopathy	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0003237	Increased IgG level	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	CASP10
Human Phenotype	HP:0005273	Absent nasal septal cartilage {has_synonym_type="layperson"}	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0010618	Ovarian fibroma	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0010617	Cardiac fibroma	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0004280	Irregular ossification of hand bones	 	8.143E-3	1.000E0	4.781E-2	2.765E-1	1	3	PTCH1
Human Phenotype	HP:0002110	Bronchiectasis	 	8.980E-3	1.000E0	4.814E-2	2.784E-1	2	54	CD8A,PIK3CD
Human Phenotype	HP:0010612	Plantar pits	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	PTCH1
Human Phenotype	HP:0002972	Reduced delayed hypersensitivity	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	CASP10
Human Phenotype	HP:0002731	Decreased lymphocyte apoptosis	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	CASP10
Human Phenotype	HP:0004844	Coombs-positive hemolytic anemia	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	CASP10
Human Phenotype	HP:0001566	Widely-spaced maxillary central incisors	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	ANKRD11
Human Phenotype	HP:0010610	Palmar pits	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	PTCH1
Human Phenotype	HP:0003454	Platelet antibody positive	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	CASP10
Human Phenotype	HP:0001572	Macrodontia	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	ANKRD11
Human Phenotype	HP:0005227	Adenomatous colonic polyposis	 	1.084E-2	1.000E0	4.814E-2	2.784E-1	1	4	AXIN2
Mouse Phenotype	MP:0008349	abnormal gamma-delta intraepithelial T cell morphology	 	1.677E-5	2.135E-2	1.156E-2	8.935E-2	3	22	CD247,CD8A,CD8B
Mouse Phenotype	MP:0008344	abnormal mature gamma-delta T cell morphology	 	3.535E-5	4.501E-2	1.156E-2	8.935E-2	3	28	CD247,CD8A,CD8B
Mouse Phenotype	MP:0008894	abnormal intraepithelial T cell morphology	 	3.535E-5	4.501E-2	1.156E-2	8.935E-2	3	28	CD247,CD8A,CD8B
Mouse Phenotype	MP:0002145	abnormal T cell differentiation	 	3.633E-5	4.625E-2	1.156E-2	8.935E-2	7	427	CD247,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Mouse Phenotype	MP:0002401	abnormal lymphopoiesis	 	6.176E-5	7.863E-2	1.573E-2	1.215E-1	8	641	ARNTL,CD247,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Mouse Phenotype	MP:0005092	decreased double-positive T cell number	 	7.844E-5	9.985E-2	1.664E-2	1.286E-1	5	198	CD247,CD8A,CD8B,PTCH1,PIK3CD
Mouse Phenotype	MP:0002367	abnormal thymus lobule morphology	 	1.195E-4	1.521E-1	2.110E-2	1.630E-1	4	112	CD247,CD8A,PTCH1,PIK3CD
Mouse Phenotype	MP:0002123	abnormal definitive hematopoiesis	 	1.602E-4	2.039E-1	2.110E-2	1.630E-1	9	951	ARNTL,CD247,ULK1,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Mouse Phenotype	MP:0005460	abnormal leukopoiesis	 	1.722E-4	2.192E-1	2.110E-2	1.630E-1	8	741	ARNTL,CD247,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Mouse Phenotype	MP:0005013	increased lymphocyte cell number	 	1.805E-4	2.298E-1	2.110E-2	1.630E-1	8	746	ARNTL,CD247,CD8A,CD8B,PTCH1,PIK3CD,BIK,NLRP6
Mouse Phenotype	MP:0002408	abnormal double-positive T cell morphology	 	1.905E-4	2.424E-1	2.110E-2	1.630E-1	5	239	CD247,CD8A,CD8B,PTCH1,PIK3CD
Mouse Phenotype	MP:0013693	abnormal hemopoiesis	 	1.989E-4	2.532E-1	2.110E-2	1.630E-1	9	978	ARNTL,CD247,ULK1,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Mouse Phenotype	MP:0008195	abnormal professional antigen presenting cell morphology	 	2.509E-4	3.194E-1	2.457E-2	1.898E-1	9	1008	ANKRD11,ARNTL,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK,NLRP6
Mouse Phenotype	MP:0003944	abnormal T cell subpopulation ratio	 	3.347E-4	4.261E-1	2.840E-2	2.195E-1	3	59	ARNTL,CD8A,CD8B
Mouse Phenotype	MP:0013887	abnormal T cell compartment	 	3.347E-4	4.261E-1	2.840E-2	2.195E-1	3	59	ARNTL,CD8A,CD8B
Mouse Phenotype	MP:0002835	abnormal cranial suture morphology	 	3.876E-4	4.934E-1	3.084E-2	2.383E-1	3	62	ANKRD11,PTCH1,AXIN2
Mouse Phenotype	MP:0002722	abnormal immune system organ morphology	 	4.169E-4	5.308E-1	3.122E-2	2.412E-1	10	1335	ARNTL,CD247,ULK1,CD8A,CD8B,PTCH1,TNXB,PIK3CD,BIK,NLRP6
Mouse Phenotype	MP:0002429	abnormal blood cell morphology/development	 	5.392E-4	6.865E-1	3.814E-2	2.947E-1	9	1115	ARNTL,CD247,ULK1,CD8A,CD8B,PTCH1,LYL1,PIK3CD,BIK
Domain	1.10.1070.11	-	Gene3D	3.775E-4	1.352E-1	2.411E-2	1.557E-1	2	16	TRRAP,PIK3CD
Domain	SM00146	PI3Kc	SMART	3.775E-4	1.352E-1	2.411E-2	1.557E-1	2	16	TRRAP,PIK3CD
Domain	PF00454	PI3_PI4_kinase	Pfam	4.803E-4	1.719E-1	2.411E-2	1.557E-1	2	18	TRRAP,PIK3CD
Domain	PS00916	PI3_4_KINASE_2	PROSITE	4.803E-4	1.719E-1	2.411E-2	1.557E-1	2	18	TRRAP,PIK3CD
Domain	IPR000403	PI3/4_kinase_cat_dom	InterPro	4.803E-4	1.719E-1	2.411E-2	1.557E-1	2	18	TRRAP,PIK3CD
Domain	PS50290	PI3_4_KINASE_3	PROSITE	4.803E-4	1.719E-1	2.411E-2	1.557E-1	2	18	TRRAP,PIK3CD
Domain	PS00915	PI3_4_KINASE_1	PROSITE	4.803E-4	1.719E-1	2.411E-2	1.557E-1	2	18	TRRAP,PIK3CD
Domain	IPR000700	PAS-assoc_C	InterPro	8.605E-4	3.081E-1	2.411E-2	1.557E-1	2	24	ARNTL,PDE8A
Domain	PF00989	PAS	Pfam	9.342E-4	3.345E-1	2.411E-2	1.557E-1	2	25	ARNTL,PDE8A
Domain	IPR013767	PAS_fold	InterPro	9.342E-4	3.345E-1	2.411E-2	1.557E-1	2	25	ARNTL,PDE8A
Domain	PS50113	PAC	PROSITE	1.011E-3	3.619E-1	2.411E-2	1.557E-1	2	26	ARNTL,PDE8A
Domain	SM00091	PAS	SMART	1.532E-3	5.486E-1	2.411E-2	1.557E-1	2	32	ARNTL,PDE8A
Domain	IPR000014	PAS	InterPro	1.729E-3	6.191E-1	2.411E-2	1.557E-1	2	34	ARNTL,PDE8A
Domain	PS50112	PAS	PROSITE	1.729E-3	6.191E-1	2.411E-2	1.557E-1	2	34	ARNTL,PDE8A
Domain	IPR024579	Bcl2-int_killer	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	BIK
Domain	IPR030354	KCC4	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	SLC12A7
Domain	IPR033081	TNX	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	TNXB
Domain	IPR026921	Alpha-actinin_1	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	ACTN1
Domain	PF15127	SmAKAP	Pfam	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	C2orf88
Domain	IPR024128	T-cell_CD3_zeta	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	CD247
Domain	PF12201	bcl-2I13	Pfam	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	BIK
Domain	PF05557	MAD	Pfam	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	MAD1L1
Domain	PD032623	PD032623	ProDom	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	BIK
Domain	IPR015468	CD8_asu	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	CD8A
Domain	IPR008672	Mad1	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	MAD1L1
Domain	IPR033317	TRA1/TRRAP	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	TRRAP
Domain	IPR027969	Small_membr_AKAP	InterPro	1.818E-3	6.508E-1	2.411E-2	1.557E-1	1	1	C2orf88
Domain	IPR009030	Growth_fac_rcpt_	InterPro	2.804E-3	1.000E0	2.649E-2	1.711E-1	3	156	FBLN2,CD248,TNXB
Domain	PF16646	AXIN1_TNKS_BD	Pfam	3.626E-3	1.000E0	2.649E-2	1.711E-1	1	2	AXIN2
Domain	PF04950	RIBIOP_C	Pfam	3.626E-3	1.000E0	2.649E-2	1.711E-1	1	2	TSR1
