Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0043901	negative regulation of multi-organism process	 	2.780E-5	7.041E-2	2.375E-2	1.999E-1	6	166	HTRA1,INPP5K,CD36,TNIP1,PRKN,ZP3
GO: Biological Process	GO:0007015	actin filament organization	 	3.158E-5	7.999E-2	2.375E-2	1.999E-1	8	347	MICAL2,FMN1,PPM1F,INPP5K,PRKN,SIRPA,ALDOA,ZYX
GO: Biological Process	GO:0051174	regulation of phosphorus metabolic process	 	3.346E-5	8.476E-2	2.375E-2	1.999E-1	18	1773	FAM20C,ATXN7,ANXA2,PPM1F,INPP5K,SLC27A1,CD36,TNIP1,PRKN,H2AFY,TLR7,HSD11B1,STK40,ACVRL1,ZP3,DUSP22,PRLR,VAV2
GO: Biological Process	GO:0097187	dentinogenesis	 	3.751E-5	9.501E-2	2.375E-2	1.999E-1	2	3	FAM20C,HTRA1
GO: Biological Process	GO:0032101	regulation of response to external stimulus	 	5.324E-5	1.349E-1	2.514E-2	2.115E-1	13	1018	ATP6V1B2,HTRA1,ATG7,ANXA2,PPM1F,CD36,SMURF1,TNIP1,PRKN,TLR7,ZP3,ZYX,VAV2
GO: Biological Process	GO:0042325	regulation of phosphorylation	 	6.250E-5	1.583E-1	2.514E-2	2.115E-1	16	1512	ATXN7,ANXA2,PPM1F,INPP5K,SLC27A1,CD36,TNIP1,PRKN,H2AFY,TLR7,STK40,ACVRL1,ZP3,DUSP22,PRLR,VAV2
GO: Biological Process	GO:1902534	single-organism membrane invagination	 	7.485E-5	1.896E-1	2.514E-2	2.115E-1	2	4	ATG7,SMURF1
GO: Biological Process	GO:0007160	cell-matrix adhesion	 	9.248E-5	2.343E-1	2.514E-2	2.115E-1	6	206	FMN1,PPM1F,CD36,SIRPA,ACVRL1,ZYX
GO: Biological Process	GO:0072661	protein targeting to plasma membrane	 	9.429E-5	2.388E-1	2.514E-2	2.115E-1	3	25	ANXA2,INPP5K,SMURF1
GO: Biological Process	GO:0010324	membrane invagination	 	1.014E-4	2.568E-1	2.514E-2	2.115E-1	4	68	ATG7,CD36,SMURF1,SIRPA
GO: Biological Process	GO:0019220	regulation of phosphate metabolic process	 	1.092E-4	2.765E-1	2.514E-2	2.115E-1	17	1760	ATXN7,ANXA2,PPM1F,INPP5K,SLC27A1,CD36,TNIP1,PRKN,H2AFY,TLR7,HSD11B1,STK40,ACVRL1,ZP3,DUSP22,PRLR,VAV2
GO: Biological Process	GO:0071495	cellular response to endogenous stimulus	 	1.395E-4	3.534E-1	2.945E-2	2.478E-1	14	1280	STRN3,ATP6V1B2,FAM20C,SLC8A1,HTRA1,INPP5K,SLC27A1,CD36,SMURF1,PRKN,ACVRL1,DUSP22,ZYX,PRLR
GO: Biological Process	GO:0044068	modulation by symbiont of host cellular process	 	1.643E-4	4.163E-1	3.202E-2	2.694E-1	3	30	ATG7,TNIP1,PRKN
GO: Biological Process	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	 	2.616E-4	6.626E-1	4.733E-2	3.982E-1	3	35	CD36,TNIP1,TLR7
Human Phenotype	HP:0002326	Transient ischemic attack	 	2.338E-4	7.084E-2	4.373E-2	2.752E-1	2	6	HTRA1,ACVRL1
Human Phenotype	HP:0000212	Gingival overgrowth	 	2.887E-4	8.746E-2	4.373E-2	2.752E-1	3	33	ATP6V1B2,FAM20C,RIN2
Domain	IPR031127	E3_UB_ligase_RBR	InterPro	5.566E-4	3.139E-1	4.307E-2	2.977E-1	2	10	PRKN,RNF217
Domain	SM00647	IBR	SMART	1.115E-3	6.289E-1	4.307E-2	2.977E-1	2	14	PRKN,RNF217
Domain	PF01485	IBR	Pfam	1.115E-3	6.289E-1	4.307E-2	2.977E-1	2	14	PRKN,RNF217
Domain	IPR002867	IBR_dom	InterPro	1.284E-3	7.240E-1	4.307E-2	2.977E-1	2	15	PRKN,RNF217
Domain	SM00033	CH	SMART	1.630E-3	9.192E-1	4.307E-2	2.977E-1	3	65	MICAL2,LRCH1,VAV2
Domain	PF00307	CH	Pfam	2.017E-3	1.000E0	4.307E-2	2.977E-1	3	70	MICAL2,LRCH1,VAV2
